nuts3,n3_name,country,code_18,l1,l1_name,l3_name,area_ha
CH023,Solothurn,Switzerland,111,1,Artificial surfaces,Continuous urban fabric,114.7
CH023,Solothurn,Switzerland,112,1,Artificial surfaces,Discontinuous urban fabric,10095.6
CH023,Solothurn,Switzerland,121,1,Artificial surfaces,Industrial or commercial units,1249.6
CH023,Solothurn,Switzerland,122,1,Artificial surfaces,Road and rail networks,67.2
CH023,Solothurn,Switzerland,124,1,Artificial surfaces,Airports,39.0
CH023,Solothurn,Switzerland,131,1,Artificial surfaces,Mineral extraction sites,59.6
CH023,Solothurn,Switzerland,133,1,Artificial surfaces,Construction sites,34.8
CH023,Solothurn,Switzerland,142,1,Artificial surfaces,Sport and leisure facilities,187.5
CH023,Solothurn,Switzerland,211,2,Agricultural areas,Non-irrigated arable land,19902.8
CH023,Solothurn,Switzerland,222,2,Agricultural areas,Fruit trees and berry plantations,496.9
CH023,Solothurn,Switzerland,231,2,Agricultural areas,Pastures,7308.1
CH023,Solothurn,Switzerland,242,2,Agricultural areas,Complex cultivation patterns,2250.8
CH023,Solothurn,Switzerland,243,2,Agricultural areas,Agriculture with natural vegetation,2758.3
CH023,Solothurn,Switzerland,311,3,Forest & semi-natural,Broad-leaved forest,9499.7
CH023,Solothurn,Switzerland,312,3,Forest & semi-natural,Coniferous forest,1326.3
CH023,Solothurn,Switzerland,313,3,Forest & semi-natural,Mixed forest,22948.6
CH023,Solothurn,Switzerland,324,3,Forest & semi-natural,Transitional woodland-shrub,77.9
CH023,Solothurn,Switzerland,411,4,Wetlands,Inland marshes,0.1
CH023,Solothurn,Switzerland,511,5,Water bodies,Water courses,414.6
CH025,Jura,Switzerland,112,1,Artificial surfaces,Discontinuous urban fabric,3836.6
CH025,Jura,Switzerland,121,1,Artificial surfaces,Industrial or commercial units,729.7
CH025,Jura,Switzerland,122,1,Artificial surfaces,Road and rail networks,65.4
CH025,Jura,Switzerland,142,1,Artificial surfaces,Sport and leisure facilities,55.1
CH025,Jura,Switzerland,211,2,Agricultural areas,Non-irrigated arable land,23326.1
CH025,Jura,Switzerland,231,2,Agricultural areas,Pastures,10073.9
CH025,Jura,Switzerland,242,2,Agricultural areas,Complex cultivation patterns,2798.9
CH025,Jura,Switzerland,243,2,Agricultural areas,Agriculture with natural vegetation,6496.0
CH025,Jura,Switzerland,311,3,Forest & semi-natural,Broad-leaved forest,6599.3
CH025,Jura,Switzerland,312,3,Forest & semi-natural,Coniferous forest,2765.0
CH025,Jura,Switzerland,313,3,Forest & semi-natural,Mixed forest,26640.7
CH025,Jura,Switzerland,324,3,Forest & semi-natural,Transitional woodland-shrub,332.9
CH025,Jura,Switzerland,411,4,Wetlands,Inland marshes,33.3
CH025,Jura,Switzerland,412,4,Wetlands,Peat bogs,45.7
CH025,Jura,Switzerland,512,5,Water bodies,Water bodies,5.2
CH031,Basel-Stadt,Switzerland,111,1,Artificial surfaces,Continuous urban fabric,381.5
CH031,Basel-Stadt,Switzerland,112,1,Artificial surfaces,Discontinuous urban fabric,1784.8
CH031,Basel-Stadt,Switzerland,121,1,Artificial surfaces,Industrial or commercial units,181.6
CH031,Basel-Stadt,Switzerland,122,1,Artificial surfaces,Road and rail networks,168.5
CH031,Basel-Stadt,Switzerland,123,1,Artificial surfaces,Port areas,53.2
CH031,Basel-Stadt,Switzerland,141,1,Artificial surfaces,Green urban areas,45.7
CH031,Basel-Stadt,Switzerland,142,1,Artificial surfaces,Sport and leisure facilities,122.4
CH031,Basel-Stadt,Switzerland,211,2,Agricultural areas,Non-irrigated arable land,345.8
CH031,Basel-Stadt,Switzerland,222,2,Agricultural areas,Fruit trees and berry plantations,1.1
CH031,Basel-Stadt,Switzerland,231,2,Agricultural areas,Pastures,0.8
CH031,Basel-Stadt,Switzerland,242,2,Agricultural areas,Complex cultivation patterns,32.9
CH031,Basel-Stadt,Switzerland,243,2,Agricultural areas,Agriculture with natural vegetation,8.6
CH031,Basel-Stadt,Switzerland,311,3,Forest & semi-natural,Broad-leaved forest,448.3
CH031,Basel-Stadt,Switzerland,511,5,Water bodies,Water courses,117.1
CH032,Basel-Landschaft,Switzerland,112,1,Artificial surfaces,Discontinuous urban fabric,7673.7
CH032,Basel-Landschaft,Switzerland,121,1,Artificial surfaces,Industrial or commercial units,1022.5
CH032,Basel-Landschaft,Switzerland,122,1,Artificial surfaces,Road and rail networks,165.0
CH032,Basel-Landschaft,Switzerland,123,1,Artificial surfaces,Port areas,89.8
CH032,Basel-Landschaft,Switzerland,142,1,Artificial surfaces,Sport and leisure facilities,168.1
CH032,Basel-Landschaft,Switzerland,211,2,Agricultural areas,Non-irrigated arable land,12174.8
CH032,Basel-Landschaft,Switzerland,221,2,Agricultural areas,Vineyards,29
CH032,Basel-Landschaft,Switzerland,222,2,Agricultural areas,Fruit trees and berry plantations,356.8
CH032,Basel-Landschaft,Switzerland,231,2,Agricultural areas,Pastures,3763.0
CH032,Basel-Landschaft,Switzerland,242,2,Agricultural areas,Complex cultivation patterns,3044.5
CH032,Basel-Landschaft,Switzerland,243,2,Agricultural areas,Agriculture with natural vegetation,1962.8
CH032,Basel-Landschaft,Switzerland,311,3,Forest & semi-natural,Broad-leaved forest,5252.1
CH032,Basel-Landschaft,Switzerland,312,3,Forest & semi-natural,Coniferous forest,358.3
CH032,Basel-Landschaft,Switzerland,313,3,Forest & semi-natural,Mixed forest,15456.8
CH032,Basel-Landschaft,Switzerland,324,3,Forest & semi-natural,Transitional woodland-shrub,97.0
CH032,Basel-Landschaft,Switzerland,511,5,Water bodies,Water courses,116.8
CH033,Aargau,Switzerland,111,1,Artificial surfaces,Continuous urban fabric,65.7
CH033,Aargau,Switzerland,112,1,Artificial surfaces,Discontinuous urban fabric,21592.4
CH033,Aargau,Switzerland,121,1,Artificial surfaces,Industrial or commercial units,2636.8
CH033,Aargau,Switzerland,122,1,Artificial surfaces,Road and rail networks,107.8
CH033,Aargau,Switzerland,124,1,Artificial surfaces,Airports,25.3
CH033,Aargau,Switzerland,131,1,Artificial surfaces,Mineral extraction sites,183.7
CH033,Aargau,Switzerland,142,1,Artificial surfaces,Sport and leisure facilities,215.4
CH033,Aargau,Switzerland,211,2,Agricultural areas,Non-irrigated arable land,53861.2
CH033,Aargau,Switzerland,221,2,Agricultural areas,Vineyards,196.6
CH033,Aargau,Switzerland,222,2,Agricultural areas,Fruit trees and berry plantations,37.0
CH033,Aargau,Switzerland,231,2,Agricultural areas,Pastures,626.8
CH033,Aargau,Switzerland,242,2,Agricultural areas,Complex cultivation patterns,6215.6
CH033,Aargau,Switzerland,243,2,Agricultural areas,Agriculture with natural vegetation,1818.7
CH033,Aargau,Switzerland,311,3,Forest & semi-natural,Broad-leaved forest,5584.1
