t,com,arr,sexe,age,gs,pays,dest,trans,sect,nat,w
A,67001,678,F,15-29,cadres,,,,,,15.07
A,67001,678,F,15-29,employes,,,,,,45.21
A,67001,678,F,15-29,ouvriers,,,,,,10.05
A,67001,678,F,15-29,prof_inter,,,,,,45.21
A,67001,678,F,30-44,artisans,,,,,,25.11
A,67001,678,F,30-44,cadres,,,,,,90.41
A,67001,678,F,30-44,employes,,,,,,70.32
A,67001,678,F,30-44,ouvriers,,,,,,10.05
A,67001,678,F,30-44,prof_inter,,,,,,75.34
A,67001,678,F,45-54,artisans,,,,,,5.02
A,67001,678,F,45-54,cadres,,,,,,10.05
A,67001,678,F,45-54,employes,,,,,,35.16
A,67001,678,F,45-54,ouvriers,,,,,,5.02
A,67001,678,F,45-54,prof_inter,,,,,,35.16
A,67001,678,F,55+,artisans,,,,,,10.05
A,67001,678,F,55+,cadres,,,,,,25.11
A,67001,678,F,55+,employes,,,,,,75.34
A,67001,678,F,55+,ouvriers,,,,,,5.02
A,67001,678,F,55+,prof_inter,,,,,,40.18
A,67001,678,H,15-29,artisans,,,,,,5.02
A,67001,678,H,15-29,cadres,,,,,,25.11
A,67001,678,H,15-29,employes,,,,,,15.07
A,67001,678,H,15-29,ouvriers,,,,,,30.14
A,67001,678,H,15-29,prof_inter,,,,,,35.16
A,67001,678,H,30-44,artisans,,,,,,30.14
A,67001,678,H,30-44,cadres,,,,,,85.39
A,67001,678,H,30-44,employes,,,,,,35.16
A,67001,678,H,30-44,ouvriers,,,,,,25.11
A,67001,678,H,30-44,prof_inter,,,,,,40.18
A,67001,678,H,45-54,artisans,,,,,,15.07
A,67001,678,H,45-54,cadres,,,,,,40.18
A,67001,678,H,45-54,employes,,,,,,20.09
A,67001,678,H,45-54,ouvriers,,,,,,25.11
A,67001,678,H,45-54,prof_inter,,,,,,15.07
A,67001,678,H,55+,artisans,,,,,,15.07
A,67001,678,H,55+,cadres,,,,,,60.27
A,67001,678,H,55+,employes,,,,,,10.05
A,67001,678,H,55+,ouvriers,,,,,,45.21
A,67001,678,H,55+,prof_inter,,,,,,15.07
A,67002,674,F,15-29,employes,,,,,,10.67
A,67002,674,F,30-44,employes,,,,,,5.37
A,67002,674,F,30-44,ouvriers,,,,,,5.17
A,67002,674,F,30-44,prof_inter,,,,,,21.4
A,67002,674,F,45-54,employes,,,,,,5.3
A,67002,674,F,45-54,ouvriers,,,,,,5.24
A,67002,674,F,45-54,prof_inter,,,,,,5.24
A,67002,674,F,55+,employes,,,,,,5.17
A,67002,674,H,15-29,ouvriers,,,,,,10.73
A,67002,674,H,30-44,cadres,,,,,,5.3
A,67002,674,H,30-44,employes,,,,,,5.37
A,67002,674,H,30-44,ouvriers,,,,,,37.31
A,67002,674,H,30-44,prof_inter,,,,,,10.47
A,67002,674,H,45-54,artisans,,,,,,5.17
A,67002,674,H,45-54,cadres,,,,,,5.24
A,67002,674,H,45-54,ouvriers,,,,,,5.17
A,67002,674,H,55+,agriculteurs,,,,,,5.24
A,67002,674,H,55+,ouvriers,,,,,,10.47
A,67002,674,H,55+,prof_inter,,,,,,5.3
A,67003,675,F,15-29,employes,,,,,,10.28
A,67003,675,F,15-29,prof_inter,,,,,,5.15
A,67003,675,F,30-44,agriculteurs,,,,,,5.16
A,67003,675,F,30-44,employes,,,,,,10.3
A,67003,675,F,30-44,prof_inter,,,,,,10.31
A,67003,675,F,45-54,agriculteurs,,,,,,5.15
A,67003,675,F,45-54,cadres,,,,,,10.28
A,67003,675,F,45-54,employes,,,,,,10.28
A,67003,675,F,45-54,ouvriers,,,,,,5.12
A,67003,675,F,45-54,prof_inter,,,,,,15.44
